mch_0,q_0,e_q,p_bns,p_bhns,p_bbh,p_gap,p_ns
0.500000,3.30000,1.75000,0.413507,0.386944,0.00000,0.199547,0.999999
0.500000,3.30000,2.00000,0.424174,0.400751,0.00000,0.175068,0.999993
0.500000,3.30000,2.25000,0.432511,0.411535,0.00000,0.155900,0.999946
0.500000,3.30000,2.50000,0.439202,0.420061,0.00000,0.140493,0.999758
0.500000,3.30000,2.75000,0.444691,0.426706,0.00000,0.127845,0.999243
0.500000,3.30000,3.00000,0.449271,0.431628,0.00000,0.117278,0.998179
0.500000,3.30000,3.25000,0.453151,0.434887,0.00000,0.108318,0.996357
0.500000,3.30000,3.50000,0.456466,0.436538,0.00000,0.100627,0.993632
0.500000,3.30000,3.75000,0.459309,0.436663,0.00000,0.0939532,0.989926
0.500000,3.30000,4.00000,0.461736,0.435382,0.00000,0.0881077,0.985227
0.500000,3.16000,1.00000,0.404257,0.260256,0.00000,0.335486,0.999999
0.500000,3.16000,1.25000,0.423117,0.303582,0.00000,0.273299,0.999999
0.500000,3.16000,1.50000,0.435799,0.334153,0.00000,0.230046,1.00000
0.500000,3.16000,1.75000,0.444903,0.356705,0.00000,0.198391,0.999998
0.500000,3.16000,2.00000,0.451751,0.373956,0.00000,0.174287,0.999994
0.500000,3.16000,2.25000,0.457088,0.387521,0.00000,0.155349,0.999958
0.500000,3.16000,2.50000,0.461364,0.398349,0.00000,0.140090,0.999803
0.500000,3.16000,2.75000,0.464865,0.406958,0.00000,0.127541,0.999365
0.500000,3.16000,3.00000,0.467784,0.413603,0.00000,0.117043,0.998432
0.500000,3.16000,3.25000,0.470253,0.418411,0.00000,0.108133,0.996798
0.500000,3.16000,3.50000,0.472353,0.421474,0.00000,0.100479,0.994308
0.500000,3.16000,3.75000,0.474140,0.422896,0.00000,0.0938325,0.990869
0.500000,3.16000,4.00000,0.475631,0.422810,0.00000,0.0880080,0.986449
0.500000,3.02000,1.00000,0.459201,0.216961,0.00000,0.323837,0.999999
0.500000,3.02000,1.25000,0.467331,0.265627,0.00000,0.267041,0.999999
0.500000,3.02000,1.50000,0.472763,0.300909,0.00000,0.226327,1.00000
0.500000,3.02000,1.75000,0.476647,0.327340,0.00000,0.196011,0.999999
0.500000,3.02000,2.00000,0.479562,0.347757,0.00000,0.172676,0.999995
0.500000,3.02000,2.25000,0.481831,0.363928,0.00000,0.154209,0.999968
0.500000,3.02000,2.50000,0.483645,0.376940,0.00000,0.139255,0.999841
0.500000,3.02000,2.75000,0.485130,0.387426,0.00000,0.126911,0.999469
0.500000,3.02000,3.00000,0.486367,0.395727,0.00000,0.116556,0.998653
0.500000,3.02000,3.25000,0.487410,0.402030,0.00000,0.107750,0.997191
0.500000,3.02000,3.50000,0.488285,0.406460,0.00000,0.100171,0.994918
0.500000,3.02000,3.75000,0.489004,0.409143,0.00000,0.0935820,0.991729
0.500000,3.02000,4.00000,0.489552,0.410221,0.00000,0.0878014,0.987575
0.500000,2.88000,1.00000,0.514936,0.178149,0.00000,0.306913,0.999998
0.500000,2.88000,1.25000,0.511953,0.230238,0.00000,0.257807,0.999999
0.500000,2.88000,1.50000,0.509961,0.269243,0.00000,0.220793,1.00000
0.500000,2.88000,1.75000,0.508540,0.299007,0.00000,0.192451,0.999999
0.500000,2.88000,2.00000,0.507472,0.322266,0.00000,0.170257,0.999997
0.500000,2.88000,2.25000,0.506641,0.340838,0.00000,0.152494,0.999975
0.500000,2.88000,2.50000,0.505978,0.355896,0.00000,0.137996,0.999872
0.500000,2.88000,2.75000,0.505434,0.368160,0.00000,0.125960,0.999557
0.500000,2.88000,3.00000,0.504980,0.378042,0.00000,0.115821,0.998846
0.500000,2.88000,3.25000,0.504590,0.385777,0.00000,0.107170,0.997538
0.500000,2.88000,3.50000,0.504234,0.391526,0.00000,0.0997056,0.995467
0.500000,2.88000,3.75000,0.503881,0.395429,0.00000,0.0932028,0.992513
0.500000,2.88000,4.00000,0.503481,0.397639,0.00000,0.0874884,0.988610
0.500000,2.74000,1.00000,0.570380,0.144031,0.00000,0.285587,0.999999
0.500000,2.74000,1.25000,0.556426,0.197653,0.00000,0.245920,0.999999
0.500000,2.74000,1.50000,0.547075,0.239342,0.00000,0.213580,1.00000
0.500000,2.74000,1.75000,0.540378,0.271843,0.00000,0.187776,0.999999
0.500000,2.74000,2.00000,0.535348,0.297583,0.00000,0.167065,0.999997
0.500000,2.74000,2.25000,0.531429,0.318327,0.00000,0.150222,0.999980
0.500000,2.74000,2.50000,0.528292,0.335278,0.00000,0.136324,0.999897
0.500000,2.74000,2.75000,0.525724,0.349209,0.00000,0.124696,0.999630
0.500000,2.74000,3.00000,0.523581,0.360586,0.00000,0.114842,0.999011
0.500000,2.74000,3.25000,0.521762,0.369687,0.00000,0.106396,0.997845
0.500000,2.74000,3.50000,0.520175,0.376698,0.00000,0.0990844,0.995960
0.500000,2.74000,3.75000,0.518751,0.381777,0.00000,0.0926964,0.993224
0.500000,2.74000,4.00000,0.517403,0.385085,0.00000,0.0870703,0.989559
0.500000,2.60000,1.00000,0.624469,0.114619,0.00000,0.260911,0.999999
0.500000,2.60000,1.25000,0.600199,0.168024,0.00000,0.231777,0.999999
0.500000,2.60000,1.50000,0.583781,0.211353,0.00000,0.204863,1.00000
0.500000,2.60000,1.75000,0.571961,0.245967,0.00000,0.182070,0.999999
0.500000,2.60000,2.00000,0.563049,0.273802,0.00000,0.163145,0.999997
0.500000,2.60000,2.25000,0.556095,0.296467,0.00000,0.147421,0.999985
0.500000,2.60000,2.50000,0.550518,0.315141,0.00000,0.134256,0.999917
0.500000,2.60000,2.75000,0.545947,0.330616,0.00000,0.123127,0.999693
0.500000,2.60000,3.00000,0.542132,0.343396,0.00000,0.113625,0.999155
0.500000,2.60000,3.25000,0.538891,0.353789,0.00000,0.105434,0.998115
0.500000,2.60000,3.50000,0.536085,0.362005,0.00000,0.0983106,0.996402
0.500000,2.60000,3.75000,0.533593,0.368213,0.00000,0.0920650,0.993870
0.500000,2.60000,4.00000,0.531297,0.372580,0.00000,0.0865486,0.990427
0.500000,2.46000,1.00000,0.676213,0.0897546,0.00000,0.234031,0.999999
0.500000,2.46000,1.25000,0.642745,0.141417,0.00000,0.215836,1.00000
0.500000,2.46000,1.50000,0.619773,0.185379,0.00000,0.194847,0.999999
0.500000,2.46000,1.75000,0.603087,0.221474,0.00000,0.175436,1.00000
0.500000,2.46000,2.00000,0.590447,0.251000,0.00000,0.158551,0.999998
0.500000,2.46000,2.25000,0.580546,0.275322,0.00000,0.144119,0.999988
0.500000,2.46000,2.50000,0.572586,0.295535,0.00000,0.131809,0.999934
0.500000,2.46000,2.75000,0.566053,0.312425,0.00000,0.121267,0.999746
0.500000,2.46000,3.00000,0.560590,0.326508,0.00000,0.112179,0.999278
0.500000,2.46000,3.25000,0.555949,0.338116,0.00000,0.104288,0.998354
0.500000,2.46000,3.50000,0.551934,0.347473,0.00000,0.0973877,0.996796
0.500000,2.46000,3.75000,0.548383,0.354759,0.00000,0.0913111,0.994453
0.500000,2.46000,4.00000,0.545147,0.360142,0.00000,0.0859250,0.991217
0.500000,2.32000,1.00000,0.724757,0.0691421,0.00000,0.206100,0.999998
0.500000,2.32000,1.25000,0.683587,0.117822,0.00000,0.198590,0.999999
0.500000,2.32000,1.50000,0.654754,0.161486,0.00000,0.183759,1.00000
0.500000,2.32000,1.75000,0.633570,0.198438,0.00000,0.167988,1.00000
0.500000,2.32000,2.00000,0.617408,0.229244,0.00000,0.153345,0.999999
0.500000,2.32000,2.25000,0.604689,0.254946,0.00000,0.140355,0.999991
0.500000,2.32000,2.50000,0.594429,0.276508,0.00000,0.129007,0.999947
0.500000,2.32000,2.75000,0.585989,0.294672,0.00000,0.119128,0.999789
0.500000,2.32000,3.00000,0.578919,0.309954,0.00000,0.110511,0.999385
0.500000,2.32000,3.25000,0.572904,0.322694,0.00000,0.102964,0.998563
0.500000,2.32000,3.50000,0.567698,0.333127,0.00000,0.0963200,0.997147
0.500000,2.32000,3.75000,0.563102,0.341436,0.00000,0.0904379,0.994978
0.500000,2.32000,4.00000,0.558940,0.347793,0.00000,0.0852020,0.991935
