,mch_0,q_0,e_q,p_bns,p_bhns,p_gap,p_bbh,p_ns
0,0.5,4.0,1.0,0.13969105699405177,0.8603089483565228,0.28218735619335256,0.0,1.0000000053505747
1,0.5,4.0,1.25,0.19335473549853235,0.8066452697833493,0.24399379729059315,0.0,1.0000000052818818
2,0.5,4.0,1.5,0.23531977663876635,0.7646801844607884,0.21240061134719188,0.0,0.9999999610995549
3,0.5,4.0,1.75,0.2681457869636593,0.7318519452303227,0.18700683555725342,0.0,0.9999977321939819
4,0.5,4.0,2.0,0.2941994887958299,0.7057703607642927,0.16653842514422085,0.0,0.9999698495601226
5,0.5,4.0,2.25,0.31524128267249446,0.6845773762757311,0.14984650191140822,0.0,0.9998186589482256
6,0.5,4.0,2.5,0.3325237074905124,0.6668108773652749,0.13604719228236659,0.0,0.9993345848557873
7,0.5,4.0,2.75,0.34693682284032046,0.651298846118656,0.12448579110984911,0.0,0.9982356689589765
8,0.5,4.0,3.0,0.3591208400619984,0.6371352831326125,0.11467916495761407,0.0,0.9962561231946108
9,0.5,4.0,3.25,0.36954315320471126,0.6236735010703893,0.10626786135644695,0.0,0.9932166542751006
10,0.5,4.0,3.5,0.37854861070352286,0.6104984485373726,0.09898109376232103,0.0,0.9890470592408955
11,0.5,4.0,3.75,0.3863915429901279,0.5973792014038144,0.09261205879989759,0.0,0.9837707443939422
12,0.5,4.0,4.0,0.39325658547030196,0.5842161413889568,0.08700065142828707,0.0,0.9774727268592589
13,0.5,3.86,1.0,0.1731439511969683,0.8268560541536067,0.3040691143689976,0.0,1.000000005350575
14,0.5,3.86,1.25,0.22552850416641254,0.7744715011514463,0.25623607779228175,0.0,1.0000000053178586
15,0.5,3.86,1.5,0.2649572241158556,0.7350427549234011,0.21984393530329535,0.0,0.9999999790392566
16,0.5,3.86,1.75,0.2951331731016394,0.7048652869538038,0.1918378747362623,0.0,0.9999984600554432
17,0.5,3.86,2.0,0.3187594310058365,0.681218210015445,0.16983945519647214,0.0,0.9999776410212814
18,0.5,3.86,2.25,0.33766846562164826,0.6621887620161828,0.1521967352618175,0.0,0.999857227637831
19,0.5,3.86,2.5,0.3531010098155986,0.6463521491049126,0.13777736347417072,0.0,0.9994531589205111
20,0.5,3.86,2.75,0.36591220745587494,0.632590985727646,0.12579516875410923,0.0,0.9985031931835211
21,0.5,3.86,3.0,0.3767046454809289,0.6200410336076175,0.11569331718033592,0.0,0.9967456790885465
22,0.5,3.86,3.25,0.38591165534847566,0.6080786855304026,0.10706896865526438,0.0,0.9939903408788783
23,0.5,3.86,3.5,0.3938488107239525,0.5962982244958918,0.09962470762938017,0.0,0.990147035219844
24,0.5,3.86,3.75,0.4007455280040824,0.5844711261288275,0.0931367913452148,0.0,0.98521665413291
25,0.5,3.86,4.0,0.4067651802501179,0.5724982348538583,0.08743399925539953,0.0,0.9792634151039762
26,0.5,3.7199999999999998,1.0,0.21129981065048675,0.7887001947000883,0.32169155893005497,0.0,1.000000005350575
27,0.5,3.7199999999999998,1.25,0.2605314615584714,0.7394685437767122,0.2658769385180807,0.0,1.0000000053351834
28,0.5,3.7199999999999998,1.5,0.2963821988731221,0.7036177909648105,0.22563173801046493,0.0,0.9999999898379325
29,0.5,3.7199999999999998,1.75,0.3233075296221866,0.676691431691826,0.19556514698354951,0.0,0.9999989613140124
30,0.5,3.7199999999999998,2.0,0.344142417852155,0.655841078938011,0.17237321276069154,0.0,0.999983496790166
31,0.5,3.7199999999999998,2.25,0.3606875209486141,0.6392004835560274,0.1539942823753952,0.0,0.9998880045046417
32,0.5,3.7199999999999998,2.5,0.37411714492397674,0.6254347773878971,0.13909727655991855,0.0,0.9995519223118738
33,0.5,3.7199999999999998,2.75,0.38522144336380204,0.6135117562201604,0.12679216586351666,0.0,0.9987331995839626
34,0.5,3.7199999999999998,3.0,0.3945480436731219,0.6026287927189643,0.11646439954157377,0.0,0.9971768363920862
35,0.5,3.7199999999999998,3.25,0.4024857734762004,0.5921987844836216,0.10767737773472658,0.0,0.9946845579598221
36,0.5,3.7199999999999998,3.5,0.40931436378032704,0.5818342045759961,0.1001130660840939,0.0,0.9911485683563233
37,0.5,3.7199999999999998,3.75,0.4152340142623962,0.571314453956705,0.09353465550353855,0.0,0.9865484682191011
38,0.5,3.7199999999999998,4.0,0.4203839317621439,0.5605440572807403,0.08776237726323964,0.0,0.980927989042884
39,0.5,3.58,1.0,0.2539777384937408,0.7460222668568344,0.3341505235450308,0.0,1.000000005350575
40,0.5,3.58,1.25,0.2981386340502526,0.70186137129317,0.27258403274600457,0.0,1.0000000053434226
41,0.5,3.58,1.5,0.32941391643922446,0.6705860798425523,0.22962172267992445,0.0,0.9999999962817766
42,0.5,3.58,1.75,0.3525336080509477,0.6474656962651204,0.19812023204926013,0.0,0.9999993043160681
43,0.5,3.58,2.0,0.370247900733544,0.6297399755277954,0.17410371186984766,0.0,0.9999878762613394
44,0.5,3.58,2.25,0.3842228291695337,0.6156896396430644,0.15521882559479463,0.0,0.9999124688125983
45,0.5,3.58,2.5,0.3955142982318057,0.6041196290193667,0.13999478464699064,0.0,0.9996339272511725
46,0.5,3.58,2.75,0.404819565656739,0.5941108706659823,0.12746917062512755,0.0,0.9989304363227214
47,0.5,3.58,3.0,0.4126154864674505,0.5849402382039111,0.11698745090774135,0.0,0.9975557246713616
48,0.5,3.58,3.25,0.41923696857061105,0.5760693003301097,0.10808974560535156,0.0,0.9953062689007208
49,0.5,3.58,3.5,0.4249220180801771,0.5671368621756173,0.10044385125572797,0.0,0.9920588802557944
50,0.5,3.58,3.75,0.42983777928153755,0.5579354043921055,0.09380400391401648,0.0,0.9877731836736431
51,0.5,3.58,4.0,0.4340967121781383,0.5483761626953239,0.08798458902495371,0.0,0.982472874873462
52,0.5,3.44,1.0,0.3007900327269508,0.6992099726236243,0.34078581572813144,0.0,1.000000005350575
53,0.5,3.44,1.25,0.33804110189163117,0.6619589034556609,0.2761212460899329,0.0,1.0000000053472922
54,0.5,3.44,1.5,0.3638338043707763,0.6361661957228765,0.23171434156470666,0.0,1.0000000000936524
55,0.5,3.44,1.75,0.3826574555655516,0.6173420819638958,0.19945571593573222,0.0,0.9999995375294475
56,0.5,3.44,2.0,0.3969653109546501,0.6030258246652604,0.17500616952026055,0.0,0.9999911356199104
57,0.5,3.44,2.25,0.40819304287811387,0.5917387973083166,0.15585643243226652,0.0,0.9999318401864306
58,0.5,3.44,2.5,0.4172312005326571,0.5824706035134447,0.14046158389786031,0.0,0.9997018040461019
59,0.5,3.44,2.75,0.4246594304151855,0.5744397019509196,0.12782099138627934,0.0,0.9990991323661051
60,0.5,3.44,3.0,0.4308699975660829,0.5670179451417804,0.11725909344149184,0.0,0.9978879427078634
61,0.5,3.44,3.25,0.43613573267878586,0.5597262274538748,0.10830379926233374,0.0,0.9958619601326607
62,0.5,3.44,3.5,0.44064784168853205,0.5522369604609448,0.10061548885810186,0.0,0.9928848021494768
63,0.5,3.44,3.75,0.44453710564406324,0.5443603941109305,0.09394371867694139,0.0,0.9888974997549937
64,0.5,3.44,4.0,0.4478870194471751,0.5360172647589911,0.0880998232271948,0.0,0.983904284206166
65,0.5,3.3,1.0,0.3511436899536424,0.6488563153969328,0.34123906048135444,0.0,1.000000005350575
66,0.5,3.3,1.25,0.3798522366950293,0.6201477686540573,0.2763624843097899,0.0,1.0000000053490865
67,0.5,3.3,1.5,0.3993895525363153,0.6006104497927194,0.23185692225926985,0.0,1.0000000023290347
68,0.5,3.3,1.75,0.41350877130308483,0.5864909237813034,0.19954665397178475,0.0,0.9999996950843882
69,0.5,3.3,2.0,0.42417544038946214,0.5758181091085195,0.17506759619718623,0.0,0.9999935494979815
70,0.5,3.3,2.25,0.4325119214319401,0.5674351981710222,0.15589981941433753,0.0,0.9999471196029623
71,0.5,3.3,2.5,0.43920365072910383,0.5605541599182398,0.14049334143844952,0.0,0.9997578106473435
72,0.5,3.3,2.75,0.4446920532644156,0.5545509882071756,0.1278449229498918,0.0,0.9992430414715914
73,0.5,3.3,3.0,0.44927339848786507,0.5489051901193767,0.11727756893120875,0.0,0.9981785886072416
74,0.5,3.3,3.25,0.45315174355188953,0.5432059123434911,0.10831835655401881,0.0,0.9963576558953806
75,0.5,3.3,3.5,0.45646733050511207,0.5371654463575446,0.10062716067016168,0.0,0.9936327768626567
76,0.5,3.3,3.75,0.4593118575729172,0.5306159534377479,0.09395321908296399,0.0,0.9899278110106653
77,0.5,3.3,4.0,0.461738032309851,0.523490169563481,0.08810765860503324,0.0,0.9852282018733322
78,0.5,3.16,1.0,0.4042586156590538,0.5957413896915214,0.33548570620689616,0.0,1.000000005350575
