,mch_0,eta_0,e_eta,p_bns,p_bhns,p_gap,p_bbh,p_ns
0,1.0,-1.0,0.25,0.0,0.0,1.0,1.8002149547729945e-233,0.0
1,1.0,-1.0,0.5,0.0,0.0,0.9999999999999999,1.4646320493499789e-62,0.0
2,1.0,-1.0,0.75,0.0,7.006992000897911e-295,0.9999999999999999,1.09412553109843e-28,0.0
3,1.0,-1.0,1.0,1.408170227191804e-221,1.248761354256183e-166,0.9999999999999999,7.084051791543661e-17,1.3747509426514795e-262
4,1.0,-1.0,1.25,1.7903488407850546e-142,2.6304300243926964e-107,1.0,2.06087923204003e-11,1.0141922379406918e-168
5,1.0,-1.0,1.5,1.581083398324603e-99,4.196549727944526e-75,1.0000000000000002,1.960829460870844e-08,9.355952124297845e-118
6,1.0,-1.0,1.75,1.2058744716534416e-73,1.0725967134685837e-55,1.0,1.2594391768313628e-06,4.865215772072999e-87
7,1.0,-1.0,2.0,7.508657962563987e-57,4.216990151466717e-43,1.0000000000000002,1.9221964541952122e-05,4.1401671917826595e-67
8,1.0,-1.0,2.25,2.4557255704857523e-45,1.82905851801242e-34,1.0,0.00012698020664523283,1.90637685871171e-53
9,1.0,-1.0,2.5,4.26004498835315e-37,2.7827998240710284e-28,0.9999999999999999,0.0004978071288987343,1.1362792427933437e-43
10,1.0,-1.0,2.75,5.362034464931487e-31,1.0548520957443908e-23,1.0,0.0013854338506237858,1.9560480823460144e-36
11,1.0,-1.0,3.0,2.3595035594769444e-26,3.2367759623917316e-20,1.0,0.003049294301584364,6.288621692764515e-31
12,1.0,-1.0,3.25,9.781672931062549e-23,1.689948111799062e-17,1.0000000000000002,0.005682706328483194,1.2249031988851075e-26
13,1.0,-1.0,3.5,7.31899772716984e-20,2.4437641536505e-15,0.9999999999999976,0.009379314702312527,3.127490920472904e-23
14,1.0,-1.0,3.75,1.5358667800493433e-17,1.3617967989185425e-13,0.9999999999998639,0.014136199883927385,1.7663209134625022e-20
15,1.0,-1.0,4.0,1.2291991911196601e-15,3.6818065372138424e-12,0.999999999996317,0.01987681291078155,3.1783277805425074e-18
16,1.0,-1.0,4.25,4.673864093264144e-14,5.6934362424087256e-11,0.9999999999430189,0.026478701879386706,2.3650789550100734e-16
17,1.0,-1.0,4.5,9.91253901902594e-13,5.678166454516997e-10,0.9999999994311921,0.033797701483056046,8.804510646366365e-15
18,1.0,-1.0,4.75,1.3212465075371137e-11,3.993373219752071e-09,0.9999999959934143,0.04168571256447643,1.8892944280031897e-13
19,1.0,-1.0,5.0,1.21140014034385e-10,2.1187866971001643e-08,0.999999978690993,0.05000219292092503,2.601172959538354e-12
20,1.0,-1.0,5.25,8.18858801431984e-10,8.932085744560875e-08,0.9999999098602839,0.05862064398665345,2.4948791300016613e-11
21,1.0,-1.0,5.5,4.307088580584329e-09,3.1149354724566337e-07,0.9999996841993642,0.06743155491133689,1.7772556809946856e-10
22,1.0,-1.0,5.75,1.839389584260922e-08,9.276361875087362e-07,0.9999990539699166,0.0763430392423114,9.889528621439571e-10
23,1.0,-1.0,6.0,6.597558931292719e-08,2.419598839691966e-06,0.9999975144255709,0.08528007854107443,4.474782187655047e-09
24,1.0,-1.0,6.25,2.0424082007928302e-07,5.641751475809474e-06,0.9999941540077043,0.09418300073578074,1.7004836369577333e-08
25,1.0,-1.0,6.5,5.579006413278485e-07,1.1956526233841398e-05,0.9999874855731249,0.10300560393298197,5.571478328038705e-08
26,1.0,-1.0,6.75,1.3692765339184754e-06,2.3347473603423994e-05,0.999975283249863,0.11171318445173756,1.6080280756444987e-07
27,1.0,-1.0,7.0,3.0650350536691737e-06,4.2483509026994234e-05,0.9999544514559193,0.12028062539723193,4.161387671211964e-07
28,1.0,-1.0,7.25,6.335538320343714e-06,7.271648323050182e-05,0.999920947978449,0.12869063408792847,9.79940337604485e-07
29,1.0,-1.0,7.5,1.2219345287864738e-05,0.00011800675910021496,0.9998697738956117,0.13693217190730467,2.125827325455967e-06
30,1.0,-1.0,7.75,2.2183352208569287e-05,0.00018278410980019922,0.9997950325379911,0.14499909120967833,4.292656227731369e-06
31,1.0,-1.0,8.0,3.8188882061803366e-05,0.0002717608345750061,0.9996900502833634,0.15288897590595812,8.139647222637515e-06
32,1.0,-1.0,8.25,6.273560795313422e-05,0.000389719014295415,0.9995475453777513,0.16060217198956347,1.4601920141860957e-05
33,1.0,-1.0,8.5,9.887798111679877e-05,0.000541294337517314,0.9993598276813659,0.1681409891448119,2.494096028373481e-05
34,1.0,-1.0,8.75,0.00015021211671657251,0.0007307759669192138,0.9991190119163643,0.17550905290045304,4.0784809382281535e-05
35,1.0,-1.0,9.0,0.00022083421598571967,0.0009619369236430818,0.9988172288603713,0.18271078718345668,6.4153783457593e-05
36,1.0,-1.0,9.25,0.00031527411277489553,0.0012379038013118594,0.9984468220859135,0.18975100860672658,9.746899350601216e-05
37,1.0,-1.0,9.5,0.00043840920200967576,0.0015610693042754208,0.9980005214937151,0.196634615732154,0.00014354259004567888
38,1.0,-1.0,9.75,0.0005953648163313569,0.0019330467507566685,0.9974715884329122,0.2033663584972565,0.00020555021079741743
39,1.0,-1.0,10.0,0.0007914071843373623,0.002354662544857356,0.9968539302708054,0.2099506747862348,0.00028698740304976923
40,1.0,0.55,0.25,0.0,0.0,1.0000000000000002,3.604711483104027e-155,0.0
41,1.0,0.55,0.5,0.0,0.0,0.9999999999999999,4.96541267224719e-42,0.0
42,1.0,0.55,0.75,0.0,8.160428536219399e-263,1.0000000000000002,1.4699539847705958e-19,0.0
43,1.0,0.55,1.0,1.1311815705854481e-200,1.3605773851305265e-148,0.9999999999999999,9.978050689433391e-12,9.012870824440491e-240
44,1.0,0.55,1.25,4.287302382958413e-129,9.208478730788259e-96,0.9999999999999999,4.260730034388338e-08,4.062892012562293e-154
45,1.0,0.55,1.5,3.095892171204352e-90,4.374892137707431e-67,1.0000000000000002,4.12349871989621e-06,1.2951216971001626e-107
46,1.0,0.55,1.75,8.119474767323284e-67,8.3890909346323305e-50,0.9999999999999999,6.689225998996277e-05,1.3770986640814752e-79
47,1.0,0.55,2.0,1.2757125592630542e-51,1.3812620112533868e-38,1.0000000000000002,0.0004179443343517677,2.10970835633942e-61
48,1.0,0.55,2.25,3.353115481961323e-41,6.81467210404104e-31,1.0,0.0014956399610945054,6.193577900210702e-49
49,1.0,0.55,2.5,9.592570032831045e-34,2.1920037614699015e-25,0.9999999999999999,0.0037785383562829967,5.158841768153212e-40
50,1.0,0.55,2.75,3.184037553589117e-28,2.6331527812439807e-21,1.0000000000000002,0.0075901364349539166,2.0719353707238965e-33
51,1.0,0.55,3.0,5.085739842686322e-24,3.372474847686117e-18,1.0000000000000002,0.013025012684524353,2.202867108242213e-28
52,1.0,0.55,3.25,9.583675316201813e-21,8.9224747474068e-16,0.999999999999999,0.01998309294051573,1.8140629111396947e-24
53,1.0,0.55,3.5,3.836480421001042e-18,7.524110475022786e-14,0.9999999999999248,0.028244353295268084,2.3396418541282415e-21
54,1.0,0.55,3.75,4.860985235350304e-16,2.713682457414934e-12,0.9999999999972858,0.037538135038214876,7.616992710702907e-19
55,1.0,0.55,4.0,2.574446504547518e-14,5.138586460066793e-11,0.9999999999485883,0.04759112879126781,8.732443103371288e-17
56,1.0,0.55,4.25,6.952439050122115e-13,5.914612894125591e-10,0.9999999994078436,0.05815446704121435,4.472388892201659e-15
57,1.0,0.55,4.5,1.1069216756036474e-11,4.604983802644081e-09,0.9999999953839469,0.06901567588135603,1.2174244828375865e-13
58,1.0,0.55,4.75,1.1575004206336247e-10,2.6258026028220737e-08,0.9999999736262238,0.08000132924164977,2.0043543049487204e-12
59,1.0,0.55,5.0,8.626419458200333e-10,1.164454602341706e-07,0.9999998826918979,0.09097474431554804,2.200897364607702e-11
60,1.0,0.55,5.25,4.878551996273661e-09,4.205733879164928e-07,0.9999995745480602,0.1018314876665381,1.7374922724380786e-10
61,1.0,0.55,5.5,2.198401033991186e-08,1.282371483042389e-06,0.9999986956445065,0.11249427553381605,1.045483255593481e-09
62,1.0,0.55,5.75,8.20319208545413e-08,3.3957352368143644e-06,0.9999965222328422,0.12290807461870275,5.0207514249536255e-09
63,1.0,0.55,6.0,2.6135080582619213e-07,7.987475735675988e-06,0.9999917511734585,0.13303574743106225,1.9961591229407203e-08
64,1.0,0.55,6.25,7.286758803271465e-07,1.6996080677743604e-05,0.999982275243442,0.14285433622992189,6.7670782220866e-08
65,1.0,0.55,6.5,1.8138720082380038e-06,3.3203940212783084e-05,0.999964982187779,0.1523519599446431,2.0034704604559596e-07
66,1.0,0.55,6.75,4.097873185474316e-06,6.028653583488674e-05,0.9999356155909794,0.1615252520810258,5.282658534700165e-07
67,1.0,0.55,7.0,8.516564806127972e-06,0.00010275899513441212,0.9998887244400596,0.1703772580873654,1.2607646150535038e-06
68,1.0,0.55,7.25,1.6466739078191596e-05,0.0001658215180766271,0.9998177117428453,0.1789157168860394,2.760356645206905e-06
69,1.0,0.55,7.5,2.99002042025302e-05,0.0002551237061076168,0.9997149760896897,0.18715166238919034,5.606997793982131e-06
70,1.0,0.55,7.75,5.139306742118757e-05,0.00037647945127587126,0.999572127481303,0.19509829201447446,1.0666974756733313e-05
71,1.0,0.55,8.0,8.418061429175997e-05,0.0005355675908046538,0.9993802517949035,0.2027700588577435,1.9159269758992224e-05
72,1.0,0.55,8.25,0.00013215297426034828,0.0007376502694145302,0.9991301967563252,0.21018195199798015,3.271194243173589e-05
73,1.0,0.55,8.5,0.00019981170486116007,0.000987333359077104,0.9988128549360618,0.21734893559964064,5.340202209187343e-05
74,1.0,0.55,8.75,0.0002921916083530816,0.0012883839679878441,0.9984194244236593,0.2242855223171744,8.377428747414054e-05
75,1.0,0.55,9.0,0.00041475498800142783,0.001643611086210138,0.9979416339257885,0.23100546025329455,0.0001268366533856306
76,1.0,0.55,9.25,0.0005732670245438813,0.0020548080377225495,0.9973719249377335,0.23752151560574458,0.0001860322270166725
77,1.0,0.55,9.5,0.0007736611640962108,0.0025227501773736546,0.9967035886585301,0.24384533536659653,0.00026519009695953133
78,1.0,0.55,9.75,0.001021902671969899,0.003047238186186554,0.9959308591418436,0.24998737620357744,0.00036845838196428757
79,1.0,0.55,10.0,0.0013238571812536019,0.0036271760588833775,0.9950489667598632,0.25595688711676506,0.0005002239395866175
80,1.0,2.1,0.25,0.0,0.0,0.9999999999999999,1.4591334772909442e-93,0.0
81,1.0,2.1,0.5,0.0,0.0,1.0000000000000002,1.131620957617358e-25,0.0
82,1.0,2.1,0.75,4.306e-320,1.327316070216845e-232,1.0,2.7928559100796618e-12,0.0
83,1.0,2.1,1.0,8.222799638829113e-181,1.341488277118816e-131,1.0,1.3096995272765265e-07,5.347007160712132e-218
84,1.0,2.1,1.25,2.2065472312480382e-116,6.929788602516733e-85,1.0000000000000002,1.9636757405366093e-05,3.4978993202378964e-140
85,1.0,2.1,1.5,2.0849887520434698e-81,1.5694341713954727e-59,0.9999999999999999,0.00030971000326833676,6.165111800581073e-98
86,1.0,2.1,1.75,2.4974058306566053e-60,2.999385344396424e-44,1.0,0.0016830390834450502,1.7800677873933722e-72
87,1.0,2.1,2.0,1.1904824663749414e-46,2.4870019485414726e-34,1.0000000000000002,0.005164505971623004,5.902725640456936e-56
88,1.0,2.1,2.25,2.8535392182594015e-37,1.5837702151844545e-27,1.0,0.011332619719163826,1.2536457805009112e-44
89,1.0,2.1,2.5,1.473589982807167e-30,1.1789304013244494e-22,1.0000000000000002,0.020146949359346265,1.5972379011225927e-36
90,1.0,2.1,2.75,1.3790572381544932e-25,4.798222048657747e-19,0.9999999999999997,0.03115931296224524,1.600137103283646e-30
91,1.0,2.1,3.0,8.4123645358429605e-22,2.6988210514627436e-16,0.9999999999999998,0.04377207032022007,5.919452743546242e-26
92,1.0,2.1,3.25,7.496422499783684e-19,3.764013622617442e-14,0.9999999999999623,0.05740489158167537,2.1440654260926976e-22
93,1.0,2.1,3.5,1.6566762241288175e-16,1.909912207886051e-12,0.99999999999809,0.07156975821065661,1.4413209380450962e-19
94,1.0,2.1,3.75,1.2998756685303707e-14,4.5722863837471835e-11,0.999999999954264,0.08588940925301007,2.7742259448335904e-17
95,1.0,2.1,4.0,4.650905334522685e-13,6.190305753639318e-10,0.9999999993805045,0.10008883734068112,2.0687382491844816e-15
96,1.0,2.1,4.25,9.074732693531293e-12,5.3947267419376015e-09,0.9999999945961984,0.11397726096478056,7.418445153117893e-14
97,1.0,2.1,4.5,1.1003215770013313e-10,3.326026578565153e-08,0.999999966629702,0.12742905044358044,1.4979480338161963e-12
98,1.0,2.1,4.75,9.137018224503063e-10,1.556248406256789e-07,0.9999998434614575,0.14036702051426786,1.9153399116650297e-11
99,1.0,2.1,5.0,5.5927209521533525e-09,5.827619226529088e-07,0.9999994116453562,0.15274902323788495,1.6948600230554173e-10
100,1.0,2.1,5.25,2.669926867618113e-08,1.8191652245017363e-06,0.9999981541355065,0.16455771060952495,1.111168739027234e-09
101,1.0,2.1,5.5,1.0387710522749077e-07,4.886679739851948e-06,0.999995009443155,0.1757929622752216,5.691604353910473e-09
102,1.0,2.1,5.75,3.409736339950694e-07,1.1582339539529236e-05,0.9999880766868264,0.18646640526299485,2.3749509648776227e-08
103,1.0,2.1,6.0,9.70686137839744e-07,2.4711743660152905e-05,0.9999743175702019,0.19659750480630062,8.346420264247232e-08
104,1.0,2.1,6.25,2.450360309857406e-06,4.82326335799442e-05,0.9999493170061102,0.20621079624199326,2.537490389408009e-07
105,1.0,2.1,6.5,5.5846877874470826e-06,8.726020760451455e-05,0.9999071551046083,0.21533392336004575,6.820433830935813e-07
106,1.0,2.1,6.75,1.1662555761185742e-05,0.00014791758499813084,0.9998404198592407,0.22399623467874152,1.649896355192252e-06
107,1.0,2.1,7.0,2.258933948395374e-05,0.00023704889551534004,0.9997403617650007,0.23222776082021412,3.645192425025342e-06
108,1.0,2.1,7.25,4.099448667733571e-05,0.0003618379662772986,0.9995971675470454,0.24005845242248455,7.445745660595736e-06
109,1.0,2.1,7.5,7.029746402794082e-05,0.0005293873877577573,0.9994003151482143,0.2475175998958192,1.4205573253127978e-05
110,1.0,2.1,7.75,0.000114721645238798,0.00074631130141599,0.9991389670533452,0.2546333858957248,2.5533448365009536e-05
111,1.0,2.1,8.0,0.00017925347813400427,0.001018384441596088,0.9988023620802697,0.26143254107567376,4.3553693765438694e-05
112,1.0,2.1,8.25,0.0002695513947011105,0.001350274686725131,0.9983801739185738,0.2679400858727092,7.09413360759133e-05
113,1.0,2.1,8.5,0.0003918141862097356,0.0017453708473836053,0.9978628149664068,0.2741791478741163,0.00011092700859126559
114,1.0,2.1,8.75,0.0005526214746358806,0.002205704404904523,0.9972416741204595,0.28017084747314097,0.00016727056935350622
115,1.0,2.1,9.0,0.0007587596038191971,0.0027319546812609894,0.9965092857149197,0.2859342454460212,0.00024420561784566243
116,1.0,2.1,9.25,0.0010170452496890143,0.0033235215875905173,0.9956594331627207,0.2914863458263627,0.00034635952424777954
117,1.0,2.1,9.5,0.0013341569418251682,0.0039786480888664615,0.9946871949693084,0.29684214675813264,0.0004786550674846427
118,1.0,2.1,9.75,0.0017164820944205142,0.004694574962832866,0.9935889429427465,0.3020147313483128,0.0006462003567733135
119,1.0,2.1,10.0,0.0021699845287087628,0.005467712427734626,0.9923623030435565,0.3070153901717111,0.0008541735561341446
120,1.0,3.6500000000000004,0.25,0.0,0.0,1.0,1.273021047916549e-48,0.0
121,1.0,3.6500000000000004,0.5,0.0,0.0,1.0,1.734928649284174e-13,0.0
122,1.0,3.6500000000000004,0.75,1.2258600481540776e-286,3.0151979631842893e-204,1.0000000000000002,7.668987772769369e-07,0.0
123,1.0,3.6500000000000004,1.0,5.409029038947102e-162,1.1969593432176825e-115,1.0000000000000002,0.00016457289083628412,2.87056648932496e-197
124,1.0,3.6500000000000004,1.25,2.4408876271243895e-104,1.1212009090161645e-74,1.0000000000000002,0.0020678650373234958,6.472145753742014e-127
125,1.0,3.6500000000000004,1.5,4.830250684776831e-73,1.9379540275300177e-52,1.0,0.00848776244279162,1.0092941611252213e-88
126,1.0,3.6500000000000004,1.75,3.509756473839594e-54,4.903996098266994e-39,1.0000000000000002,0.020430562294880873,1.0509452654489728e-65
127,1.0,3.6500000000000004,2.0,6.10351119395263e-42,2.4625212245974915e-30,1.0,0.03683967603285389,9.069566878126368e-51
128,1.0,3.6500000000000004,2.25,1.5139066495498936e-33,2.296947054270515e-24,1.0,0.05598196479395337,1.5812238497549086e-40
129,1.0,3.6500000000000004,2.5,1.5447361443226116e-27,4.3311577012967813e-20,1.0,0.07632948234061447,3.3730646782856994e-33
130,1.0,3.6500000000000004,2.75,4.3576939864199116e-23,6.385329057888777e-17,0.9999999999999997,0.09680150624498819,9.011775621948616e-28
131,1.0,3.6500000000000004,3.0,1.0681346142763636e-19,1.6594484969941906e-14,0.9999999999999836,0.1167230173167139,1.2204573613537491e-23
132,1.0,3.6500000000000004,3.25,4.6826400495222954e-17,1.2692313172357518e-12,0.9999999999987305,0.13571448591332033,2.022763929723192e-20
133,1.0,3.6500000000000004,3.5,5.89488408068594e-15,3.9984958760428235e-11,0.9999999999600091,0.15359117361466892,7.313328725769939e-18
134,1.0,3.6500000000000004,3.75,2.937606091291726e-13,6.516108627634374e-10,0.9999999993480952,0.17028929682030278,8.535483801484407e-16
135,1.0,3.6500000000000004,4.0,7.249169541228135e-12,6.438822620402732e-09,0.9999999935539282,0.1858166033082712,4.226589930620545e-14
136,1.0,3.6500000000000004,4.25,1.0396054784981697e-10,4.321445743033562e-08,0.999999956681582,0.20022082074148817,1.0795579020516217e-12
137,1.0,3.6500000000000004,4.5,9.738513177259082e-10,2.1399794678491795e-07,0.999999785028202,0.2135701095689296,1.6403913820223157e-11
138,1.0,3.6500000000000004,4.75,6.500243428309319e-09,8.315371822071418e-07,0.9999991619625744,0.22594125078775976,1.6488793179928313e-10
139,1.0,3.6500000000000004,5.0,3.3018404879168194e-08,2.6562346503969148e-06,0.9999973107469448,0.23741270918396803,1.1880705822500697e-09
140,1.0,3.6500000000000004,5.25,1.3425120237247813e-07,7.229348016785107e-06,0.9999926364007808,0.24806073146623372,6.526580510471515e-09
141,1.0,3.6500000000000004,5.5,4.5446170821553257e-07,1.7237949105071202e-05,0.9999823075891869,0.25795731639799363,2.8678681176954678e-08
142,1.0,3.6500000000000004,5.75,1.321145001533179e-06,3.681138016848933e-05,0.9999618674748298,0.267169325215483,1.0468363302908304e-07
143,1.0,3.6500000000000004,6.0,3.3806242540361437e-06,7.165088371622665e-05,0.99992496849203,0.2757582681958936,3.2712893989426595e-07
144,1.0,3.6500000000000004,6.25,7.767140523382353e-06,0.00012893357219258942,0.9998632992872841,0.2837804686000683,8.965981869842578e-07
145,1.0,3.6500000000000004,6.5,1.6283469734672823e-05,0.00021698942705315454,0.9997667271032122,0.29128740993079816,2.1981403555653866e-06
146,1.0,3.6500000000000004,6.75,3.156386553022254e-05,0.0003448021800614485,0.9996236339544083,0.2983261423089798,4.898741296120388e-06
147,1.0,3.6500000000000004,7.0,5.719070754124853e-05,0.000521416230809236,0.9994213930616493,0.3049396731861678,1.0056713446902634e-05
148,1.0,3.6500000000000004,7.25,9.774382934887441e-05,0.0007553382648314146,0.9991469179058194,0.31116730371939294,1.9229467634098306e-05
149,1.0,3.6500000000000004,7.5,0.00015877308653588406,0.0010540088958789938,0.9987872180175851,0.3170448981129587,3.456467273198081e-05
150,1.0,3.6500000000000004,7.75,0.0002466967504390791,0.001423395287083981,0.9983299079624771,0.3226050906055282,5.886157518955433e-05
151,1.0,3.6500000000000004,8.0,0.00036863801103332716,0.0018677288351090688,0.9977636331538576,0.32787744472691144,9.559346463845283e-05
152,1.0,3.6500000000000004,8.25,0.0005322178243346817,0.002389388634750472,0.9970783935409149,0.33288858333726884,0.00014888764487267883
153,1.0,3.6500000000000004,8.5,0.0007453243967010852,0.0029889145908176063,0.9962657610124812,0.337662307398325,0.00022346452075537818
154,1.0,3.6500000000000004,8.75,0.0010158784668242804,0.0036651242845878755,0.9953189972485877,0.3422197180686719,0.0003245416141579504
