,mch_0,eta_0,e_eta,p_bns,p_bhns,p_gap,p_bbh,p_ns
78,0.5,-6.525,9.75,0.0,0.0,0.0,0.0,0.0
79,0.5,-6.525,10.0,0.0,0.0,0.0,0.0,0.0
80,0.5,-6.05,0.25,0.0,0.0,0.0,0.0,0.0
81,0.5,-6.05,0.5,0.0,0.0,0.0,0.0,0.0
82,0.5,-6.05,0.75,0.0,0.0,0.0,0.0,0.0
83,0.5,-6.05,1.0,0.0,0.0,0.0,0.0,0.0
84,0.5,-6.05,1.25,0.0,0.0,0.0,0.0,0.0
85,0.5,-6.05,1.5,0.0,0.0,0.0,0.0,0.0
86,0.5,-6.05,1.75,0.0,0.0,0.0,0.0,0.0
87,0.5,-6.05,2.0,0.0,0.0,0.0,0.0,0.0
88,0.5,-6.05,2.25,0.0,0.0,0.0,0.0,0.0
89,0.5,-6.05,2.5,0.0,0.0,0.0,0.0,0.0
90,0.5,-6.05,2.75,0.0,0.0,0.0,0.0,0.0
91,0.5,-6.05,3.0,0.0,0.0,0.0,0.0,0.0
92,0.5,-6.05,3.25,0.0,0.0,0.0,0.0,0.0
93,0.5,-6.05,3.5,0.0,0.0,0.0,0.0,0.0
94,0.5,-6.05,3.75,0.0,0.0,0.0,0.0,0.0
95,0.5,-6.05,4.0,0.0,0.0,0.0,0.0,0.0
96,0.5,-6.05,4.25,0.0,0.0,0.0,0.0,0.0
97,0.5,-6.05,4.5,0.0,0.0,0.0,0.0,0.0
98,0.5,-6.05,4.75,0.0,0.0,0.0,0.0,0.0
99,0.5,-6.05,5.0,0.0,0.0,0.0,0.0,0.0
100,0.5,-6.05,5.25,0.0,0.0,0.0,0.0,0.0
101,0.5,-6.05,5.5,0.0,0.0,0.0,0.0,0.0
102,0.5,-6.05,5.75,0.0,0.0,0.0,0.0,0.0
103,0.5,-6.05,6.0,0.0,0.0,0.0,0.0,0.0
104,0.5,-6.05,6.25,0.0,0.0,0.0,0.0,0.0
105,0.5,-6.05,6.5,0.0,0.0,0.0,0.0,0.0
106,0.5,-6.05,6.75,0.0,0.0,0.0,0.0,0.0
107,0.5,-6.05,7.0,0.0,0.0,0.0,0.0,0.0
108,0.5,-6.05,7.25,0.0,0.0,0.0,0.0,0.0
109,0.5,-6.05,7.5,0.0,0.0,0.0,0.0,0.0
110,0.5,-6.05,7.75,0.0,0.0,0.0,0.0,0.0
111,0.5,-6.05,8.0,0.0,0.0,0.0,0.0,0.0
112,0.5,-6.05,8.25,0.0,0.0,0.0,0.0,0.0
113,0.5,-6.05,8.5,0.0,0.0,0.0,0.0,0.0
114,0.5,-6.05,8.75,0.0,0.0,0.0,0.0,0.0
115,0.5,-6.05,9.0,0.0,0.0,0.0,0.0,0.0
116,0.5,-6.05,9.25,0.0,0.0,0.0,0.0,0.0
117,0.5,-6.05,9.5,0.0,0.0,0.0,0.0,0.0
118,0.5,-6.05,9.75,0.0,0.0,0.0,0.0,0.0
119,0.5,-6.05,10.0,0.0,0.0,0.0,0.0,0.0
120,0.5,-5.575,0.25,0.0,0.0,0.0,0.0,0.0
121,0.5,-5.575,0.5,0.0,0.0,0.0,0.0,0.0
122,0.5,-5.575,0.75,0.0,0.0,0.0,0.0,0.0
123,0.5,-5.575,1.0,0.0,0.0,0.0,0.0,0.0
124,0.5,-5.575,1.25,0.0,0.0,0.0,0.0,0.0
125,0.5,-5.575,1.5,0.0,0.0,0.0,0.0,0.0
126,0.5,-5.575,1.75,0.0,0.0,0.0,0.0,0.0
127,0.5,-5.575,2.0,0.0,0.0,0.0,0.0,0.0
128,0.5,-5.575,2.25,0.0,0.0,0.0,0.0,0.0
129,0.5,-5.575,2.5,0.0,0.0,0.0,0.0,0.0
130,0.5,-5.575,2.75,0.0,0.0,0.0,0.0,0.0
131,0.5,-5.575,3.0,0.0,0.0,0.0,0.0,0.0
132,0.5,-5.575,3.25,0.0,0.0,0.0,0.0,0.0
133,0.5,-5.575,3.5,0.0,0.0,0.0,0.0,0.0
134,0.5,-5.575,3.75,0.0,0.0,0.0,0.0,0.0
135,0.5,-5.575,4.0,0.0,0.0,0.0,0.0,0.0
136,0.5,-5.575,4.25,0.0,0.0,0.0,0.0,0.0
137,0.5,-5.575,4.5,0.0,0.0,0.0,0.0,0.0
138,0.5,-5.575,4.75,0.0,0.0,0.0,0.0,0.0
139,0.5,-5.575,5.0,0.0,0.0,0.0,0.0,0.0
140,0.5,-5.575,5.25,0.0,0.0,0.0,0.0,0.0
141,0.5,-5.575,5.5,0.0,0.0,0.0,0.0,0.0
142,0.5,-5.575,5.75,0.0,0.0,0.0,0.0,0.0
143,0.5,-5.575,6.0,0.0,0.0,0.0,0.0,0.0
144,0.5,-5.575,6.25,0.0,0.0,0.0,0.0,0.0
145,0.5,-5.575,6.5,0.0,0.0,0.0,0.0,0.0
146,0.5,-5.575,6.75,0.0,0.0,0.0,0.0,0.0
147,0.5,-5.575,7.0,0.0,0.0,0.0,0.0,0.0
148,0.5,-5.575,7.25,0.0,0.0,0.0,0.0,0.0
149,0.5,-5.575,7.5,0.0,0.0,0.0,0.0,0.0
150,0.5,-5.575,7.75,0.0,0.0,0.0,0.0,0.0
151,0.5,-5.575,8.0,0.0,0.0,0.0,0.0,0.0
152,0.5,-5.575,8.25,0.0,0.0,0.0,0.0,0.0
153,0.5,-5.575,8.5,0.0,0.0,0.0,0.0,0.0
154,0.5,-5.575,8.75,0.0,0.0,0.0,0.0,0.0
155,0.5,-5.575,9.0,0.0,0.0,0.0,0.0,0.0
156,0.5,-5.575,9.25,0.0,0.0,0.0,0.0,0.0
157,0.5,-5.575,9.5,0.0,0.0,0.0,0.0,0.0
158,0.5,-5.575,9.75,0.0,0.0,0.0,0.0,0.0
159,0.5,-5.575,10.0,0.0,0.0,0.0,0.0,0.0
160,0.5,-5.1,0.25,0.0,0.0,0.0,0.0,0.0
161,0.5,-5.1,0.5,0.0,0.0,0.0,0.0,0.0
162,0.5,-5.1,0.75,0.0,0.0,0.0,0.0,0.0
163,0.5,-5.1,1.0,0.0,0.0,0.0,0.0,0.0
164,0.5,-5.1,1.25,0.0,0.0,0.0,0.0,0.0
165,0.5,-5.1,1.5,0.0,0.0,0.0,0.0,0.0
166,0.5,-5.1,1.75,0.0,0.0,0.0,0.0,0.0
167,0.5,-5.1,2.0,0.0,0.0,0.0,0.0,0.0
168,0.5,-5.1,2.25,0.0,0.0,0.0,0.0,0.0
169,0.5,-5.1,2.5,0.0,0.0,0.0,0.0,0.0
170,0.5,-5.1,2.75,0.0,0.0,0.0,0.0,0.0
171,0.5,-5.1,3.0,0.0,0.0,0.0,0.0,0.0
172,0.5,-5.1,3.25,0.0,0.0,0.0,0.0,0.0
173,0.5,-5.1,3.5,0.0,0.0,0.0,0.0,0.0
174,0.5,-5.1,3.75,0.0,0.0,0.0,0.0,0.0
175,0.5,-5.1,4.0,0.0,0.0,0.0,0.0,0.0
176,0.5,-5.1,4.25,0.0,0.0,0.0,0.0,0.0
177,0.5,-5.1,4.5,0.0,0.0,0.0,0.0,0.0
178,0.5,-5.1,4.75,0.0,0.0,0.0,0.0,0.0
179,0.5,-5.1,5.0,0.0,0.0,0.0,0.0,0.0
180,0.5,-5.1,5.25,0.0,0.0,0.0,0.0,0.0
181,0.5,-5.1,5.5,0.0,0.0,0.0,0.0,0.0
182,0.5,-5.1,5.75,0.0,0.0,0.0,0.0,0.0
183,0.5,-5.1,6.0,0.0,0.0,0.0,0.0,0.0
184,0.5,-5.1,6.25,0.0,0.0,0.0,0.0,0.0
185,0.5,-5.1,6.5,0.0,0.0,0.0,0.0,0.0
186,0.5,-5.1,6.75,0.0,0.0,0.0,0.0,0.0
187,0.5,-5.1,7.0,0.0,0.0,0.0,0.0,0.0
188,0.5,-5.1,7.25,0.0,0.0,0.0,0.0,0.0
189,0.5,-5.1,7.5,0.0,0.0,0.0,0.0,0.0
190,0.5,-5.1,7.75,0.0,0.0,0.0,0.0,0.0
191,0.5,-5.1,8.0,0.0,0.0,0.0,0.0,0.0
192,0.5,-5.1,8.25,0.0,0.0,0.0,0.0,0.0
193,0.5,-5.1,8.5,0.0,0.0,0.0,0.0,0.0
194,0.5,-5.1,8.75,0.0,0.0,0.0,0.0,0.0
195,0.5,-5.1,9.0,0.0,0.0,0.0,0.0,0.0
196,0.5,-5.1,9.25,0.0,0.0,0.0,0.0,0.0
197,0.5,-5.1,9.5,0.0,0.0,0.0,0.0,0.0
198,0.5,-5.1,9.75,0.0,0.0,0.0,0.0,0.0
199,0.5,-5.1,10.0,0.0,0.0,0.0,0.0,0.0
200,0.5,-4.625,0.25,0.0,0.0,0.0,0.0,0.0
201,0.5,-4.625,0.5,0.0,0.0,0.0,0.0,0.0
202,0.5,-4.625,0.75,0.0,0.0,0.0,0.0,0.0
203,0.5,-4.625,1.0,0.0,0.0,0.0,0.0,0.0
204,0.5,-4.625,1.25,0.0,0.0,0.0,0.0,0.0
205,0.5,-4.625,1.5,0.0,0.0,0.0,0.0,0.0
206,0.5,-4.625,1.75,0.0,0.0,0.0,0.0,0.0
207,0.5,-4.625,2.0,0.0,0.0,0.0,0.0,0.0
208,0.5,-4.625,2.25,0.0,0.0,0.0,0.0,0.0
209,0.5,-4.625,2.5,0.0,0.0,0.0,0.0,0.0
210,0.5,-4.625,2.75,0.0,0.0,0.0,0.0,0.0
211,0.5,-4.625,3.0,0.0,0.0,0.0,0.0,0.0
212,0.5,-4.625,3.25,0.0,0.0,0.0,0.0,0.0
213,0.5,-4.625,3.5,0.0,0.0,0.0,0.0,0.0
214,0.5,-4.625,3.75,0.0,0.0,0.0,0.0,0.0
215,0.5,-4.625,4.0,0.0,0.0,0.0,0.0,0.0
216,0.5,-4.625,4.25,0.0,0.0,0.0,0.0,0.0
217,0.5,-4.625,4.5,0.0,0.0,0.0,0.0,0.0
218,0.5,-4.625,4.75,0.0,0.0,0.0,0.0,0.0
219,0.5,-4.625,5.0,0.0,0.0,0.0,0.0,0.0
220,0.5,-4.625,5.25,0.0,0.0,0.0,0.0,0.0
221,0.5,-4.625,5.5,0.0,0.0,0.0,0.0,0.0
222,0.5,-4.625,5.75,0.0,0.0,0.0,0.0,0.0
223,0.5,-4.625,6.0,0.0,0.0,0.0,0.0,0.0
224,0.5,-4.625,6.25,0.0,0.0,0.0,0.0,0.0
225,0.5,-4.625,6.5,0.0,0.0,0.0,0.0,0.0
226,0.5,-4.625,6.75,0.0,0.0,0.0,0.0,0.0
227,0.5,-4.625,7.0,0.0,0.0,0.0,0.0,0.0
228,0.5,-4.625,7.25,0.0,0.0,0.0,0.0,0.0
229,0.5,-4.625,7.5,0.0,0.0,0.0,0.0,0.0
