,mch_0,eta_0,e_eta,p_bns,p_bhns,p_gap,p_bbh,p_ns
0,1.0,-1.0,0.25,0.0,0.0,0.9999999999999999,1.8002149547729942e-233,0.0
1,1.0,-1.0,0.5,0.0,0.0,0.9999999999999999,1.4646320493499789e-62,0.0
2,1.0,-1.0,0.75,0.0,7.006992000897913e-295,1.0000000000000002,1.0941255310984302e-28,0.0
3,1.0,-1.0,1.0,1.4081702271918042e-221,1.2487613542561833e-166,1.0,7.084051791543662e-17,1.3747509426514798e-262
4,1.0,-1.0,1.25,1.7903488407850546e-142,2.630430024392696e-107,0.9999999999999999,2.0608792320400298e-11,1.0141922379406918e-168
5,1.0,-1.0,1.5,1.5810833983246032e-99,4.1965497279445253e-75,1.0,1.9608294608708436e-08,9.355952124297843e-118
6,1.0,-1.0,1.75,1.2058744716534416e-73,1.0725967134685837e-55,1.0,1.2594391768313628e-06,4.865215772072999e-87
7,1.0,-1.0,2.0,7.508657962563989e-57,4.2169901514667184e-43,1.0000000000000004,1.9221964541952125e-05,4.1401671917826575e-67
8,1.0,-1.0,2.25,2.455725570485753e-45,1.82905851801242e-34,1.0000000000000002,0.00012698020664523286,1.9063768587117106e-53
9,1.0,-1.0,2.5,4.26004498835315e-37,2.782799824071028e-28,0.9999999999999999,0.0004978071288987343,1.1362792427933433e-43
10,1.0,-1.0,2.75,5.3620344649314854e-31,1.0548520957443911e-23,1.0,0.0013854338506237858,1.9560480823460144e-36
11,1.0,-1.0,3.0,2.3595035594769444e-26,3.2367759623917316e-20,1.0,0.003049294301584364,6.288621692764516e-31
12,1.0,-1.0,3.25,9.781672931062552e-23,1.6899481117990625e-17,1.0000000000000002,0.005682706328483194,1.2249031988851077e-26
13,1.0,-1.0,3.5,7.318997727169839e-20,2.4437641536504997e-15,0.9999999999999976,0.009379314702312527,3.1274909204729043e-23
14,1.0,-1.0,3.75,1.5358667800493433e-17,1.3617967989185425e-13,0.999999999999864,0.014136199883927386,1.766320913462501e-20
15,1.0,-1.0,4.0,1.2291991911196601e-15,3.6818065372138424e-12,0.999999999996317,0.01987681291078155,3.178327780542385e-18
16,1.0,-1.0,4.25,4.673864093264114e-14,5.6934362424087256e-11,0.999999999943019,0.026478701879386706,2.3650789550070674e-16
17,1.0,-1.0,4.5,9.912539019023846e-13,5.678166454516997e-10,0.9999999994311921,0.033797701483056046,8.804510646156886e-15
18,1.0,-1.0,4.75,1.3212465075317519e-11,3.993373219752071e-09,0.9999999959934145,0.041685712564476445,1.889294427466962e-13
19,1.0,-1.0,5.0,1.211400140282562e-10,2.1187866971001643e-08,0.999999978690993,0.05000219292092503,2.6011729534095472e-12
20,1.0,-1.0,5.25,8.18858801068724e-10,8.932085744560874e-08,0.9999999098602838,0.058620643986653446,2.4948790936756725e-11
21,1.0,-1.0,5.5,4.307088568040213e-09,3.1149354724566337e-07,0.9999996841993642,0.06743155491133689,1.777255555553504e-10
22,1.0,-1.0,5.75,1.8393895566008163e-08,9.276361875087365e-07,0.999999053969917,0.07634303924231142,9.889525855428917e-10
23,1.0,-1.0,6.0,6.597558512359881e-08,2.419598839691976e-06,0.9999975144255752,0.08528007854107479,4.4747779983264076e-09
24,1.0,-1.0,6.25,2.0424077386414167e-07,5.641751475809734e-06,0.9999941540077504,0.09418300073578509,1.7004790154427336e-08
25,1.0,-1.0,6.5,5.579002518886965e-07,1.1956526233846052e-05,0.9999874855735142,0.10300560393302209,5.571439384103948e-08
26,1.0,-1.0,6.75,1.3692739276465137e-06,2.3347473603484835e-05,0.9999752832524689,0.11171318445202867,1.6080020128933904e-07
27,1.0,-1.0,7.0,3.0650207492795544e-06,4.2483509027601936e-05,0.9999544514702232,0.12028062539895248,4.16124462693686e-07
28,1.0,-1.0,7.25,6.33547219428794e-06,7.271648323531033e-05,0.9999209480445703,0.12869063409643836,9.79874211194562e-07
29,1.0,-1.0,7.5,1.2219082007339388e-05,0.00011800675913128428,0.9998697741588615,0.13693217194335672,2.125564042273157e-06
30,1.0,-1.0,7.75,2.2182432260100993e-05,0.00018278410996835497,0.9997950334577718,0.144999091343073,4.291736262804188e-06
31,1.0,-1.0,8.0,3.8186015818872135e-05,0.00027176083535396847,0.9996900531488273,0.15288897634419182,8.13678089357459e-06
