,mch_0,eta_0,e_eta,p_bns,p_bhns,p_gap,p_bbh,p_ns
48,1.0,0.55,2.25,3.353115481961323e-41,0.0,0.9985043600389053,0.0014956399610945056,6.814672104376353e-31
49,1.0,0.55,2.5,9.592570032831045e-34,0.0,0.996221461643717,0.0037785383562829963,2.192003771062471e-25
50,1.0,0.55,2.75,3.184037553589117e-28,0.0,0.9924098635650462,0.0075901364349539166,2.633153099647736e-21
51,1.0,0.55,3.0,5.085739842686322e-24,0.0,0.9869749873154755,0.013025012684524348,3.372479933425959e-18
52,1.0,0.55,3.25,9.583675316201813e-21,0.0,0.9800169070594841,0.019983092940515725,8.92257058415996e-16
53,1.0,0.55,3.5,3.836480421001042e-18,0.0,0.9717556467047318,0.02824435329526807,7.524494123064887e-14
54,1.0,0.55,3.75,4.860985235350304e-16,0.0,0.962461864961785,0.03753813503821439,2.714168555938469e-12
55,1.0,0.55,4.0,2.574446504547518e-14,0.0,0.9524088712087322,0.04759112879124206,5.1411609065713404e-11
56,1.0,0.55,4.25,6.952439050122115e-13,0.0,0.9418455329587857,0.05815446704051911,5.921565333175714e-10
57,1.0,0.55,4.5,1.1069216756036474e-11,0.0,0.9309843241186435,0.0690156758702873,4.616053019400118e-09
58,1.0,0.55,4.75,1.1575004206336247e-10,0.0,0.9199986707583365,0.08000132912591346,2.6373776070284097e-08
59,1.0,0.55,5.0,8.626419458200333e-10,0.0,0.9090252556842086,0.09097474345314933,1.1730810217999063e-07
60,1.0,0.55,5.25,4.878551996273661e-09,0.0,0.8981685123305654,0.10183148279088279,4.2545193991276644e-07
61,1.0,0.55,5.5,2.198401033991186e-08,0.0,0.887505724441293,0.11249425357469643,1.304355493382301e-06
62,1.0,0.55,5.75,8.20319208545413e-08,0.0,0.8770919252181784,0.12290799274990069,3.477767157668906e-06
63,1.0,0.55,6.0,2.6135080582619213e-07,0.0,0.8669642517169399,0.1330354869322542,8.248826541502179e-06
64,1.0,0.55,6.25,7.286758803271465e-07,0.0,0.8571456600952703,0.1428536112288495,1.7724756558070754e-05
65,1.0,0.55,6.5,1.8138720082380038e-06,0.0,0.8476480265846863,0.15235015954330547,3.5017812221021086e-05
66,1.0,0.55,6.75,4.097873185474316e-06,0.0,0.8384747049521876,0.16152119717462698,6.438440902036106e-05
67,1.0,0.55,7.0,8.516564806127972e-06,0.0,0.8296226203202028,0.17036886311499108,0.0001112755599405401
68,1.0,0.55,7.25,1.6466739078191596e-05,0.0,0.8210839728548728,0.17889956040604915,0.0001822882571548187
69,1.0,0.55,7.5,2.99002042025302e-05,0.0,0.8128476140846785,0.18712248571111878,0.00028502391031014706
70,1.0,0.55,7.75,5.139306742118757e-05,0.0,0.8049001483112941,0.1950484586212847,0.0004278725186970588
71,1.0,0.55,8.0,8.418061429175997e-05,0.0,0.7972268032116645,0.2026890161740437,0.0006197482050964139
72,1.0,0.55,8.25,0.00013215297426034828,0.0,0.7898121072824205,0.21005573974331912,0.0008698032436748784
73,1.0,0.55,8.5,0.00019981170486116007,0.0,0.7826404067335532,0.21715978156158566,0.0011871450639382639
74,1.0,0.55,8.75,0.0002921916083530816,0.0,0.7756962502762718,0.2240115581153752,0.0015805755763409256
75,1.0,0.55,9.0,0.00041475498800142783,0.0,0.7689646666022564,0.23062057840974212,0.002058366074211566
76,1.0,0.55,9.25,0.0005732670245438813,0.0,0.7624313560153411,0.23699537696011505,0.002628075062266431
77,1.0,0.55,9.5,0.0007736611640962108,0.0,0.7560828145700729,0.24314352426583075,0.0032964113414698654
78,1.0,0.55,9.75,0.001021902671969899,0.0,0.749906406182426,0.2490716911456042,0.004069140858156454
79,1.0,0.55,10.0,0.0013238571812536019,0.0,0.743890395524502,0.25478574729424425,0.004951033240136979
80,1.0,2.1,0.25,0.0,0.0,0.9999999999999999,1.4591334772909442e-93,0.0
81,1.0,2.1,0.5,0.0,0.0,1.0,1.131620957617358e-25,0.0
82,1.0,2.1,0.75,4.306e-320,0.0,0.9999999999972072,2.7928559100796618e-12,1.327316070216845e-232
83,1.0,2.1,1.0,8.222799638829113e-181,0.0,0.9999998690300473,1.3096995272765268e-07,1.341488277118816e-131
84,1.0,2.1,1.25,2.2065472312480382e-116,0.0,0.9999803632425948,1.9636757405366093e-05,6.929788602516733e-85
85,1.0,2.1,1.5,2.0849887520434698e-81,0.0,0.9996902899967316,0.00030971000326833676,1.569434171395473e-59
86,1.0,2.1,1.75,2.4974058306566053e-60,0.0,0.9983169609165549,0.0016830390834450502,2.9993853443964253e-44
87,1.0,2.1,2.0,1.1904824663749414e-46,0.0,0.994835494028377,0.005164505971623004,2.4870019485426627e-34
88,1.0,2.1,2.25,2.8535392182594015e-37,0.0,0.988667380280836,0.011332619719163828,1.5837702154698082e-27
89,1.0,2.1,2.5,1.473589982807167e-30,0.0,0.979853050640654,0.020146949359346265,1.1789304160603492e-22
90,1.0,2.1,2.75,1.3790572381544932e-25,0.0,0.9688406870377545,0.031159312962245247,4.798223427714985e-19
91,1.0,2.1,3.0,8.4123645358429605e-22,0.0,0.9562279296797798,0.043772070320220076,2.69882946382728e-16
92,1.0,2.1,3.25,7.496422499783684e-19,0.0,0.9425951084183246,0.05740489158167536,3.76408858684244e-14
93,1.0,2.1,3.5,1.6566762241288175e-16,0.0,0.9284302417893435,0.07156975821065646,1.910077875508464e-12
94,1.0,2.1,3.75,1.2998756685303707e-14,0.0,0.91411059074699,0.08588940925299704,4.5735862594157137e-11
95,1.0,2.1,4.0,4.650905334522685e-13,0.0,0.8999111626593191,0.10008883734021604,6.194956658973844e-10
96,1.0,2.1,4.25,9.074732693531293e-12,0.0,0.8860227390352191,0.11397726095570601,5.403801474631133e-09
97,1.0,2.1,4.5,1.1003215770013313e-10,0.0,0.872570949556412,0.12742905033355578,3.337029794335167e-08
98,1.0,2.1,4.75,9.137018224503063e-10,0.0,0.859632979485569,0.14036701960072892,1.5653854244812922e-07
99,1.0,2.1,5.0,5.5927209521533525e-09,0.0,0.8472509767598401,0.152749017647439,5.883546436050621e-07
100,1.0,2.1,5.25,2.669926867618113e-08,0.0,0.8354422893683869,0.16455768393234435,1.8458644931779176e-06
101,1.0,2.1,5.5,1.0387710522749077e-07,0.0,0.824207037565764,0.1757928585571307,4.990556845079439e-06
102,1.0,2.1,5.75,3.409736339950694e-07,0.0,0.813533593844033,0.18646606518233305,1.1923313173524307e-05
103,1.0,2.1,6.0,9.70686137839744e-07,0.0,0.8034024911208381,0.19659653819302428,2.568242979799265e-05
104,1.0,2.1,6.25,2.450360309857406e-06,0.0,0.7937891881722854,0.20620836146740476,5.068299388980162e-05
105,1.0,2.1,6.5,5.5846877874470826e-06,0.0,0.7846660252627088,0.21532839004950374,9.284489539196163e-05
106,1.0,2.1,6.75,1.1662555761185742e-05,0.0,0.776003616245748,0.22398472119849067,0.0001595801407593166
107,1.0,2.1,7.0,2.258933948395374e-05,0.0,0.7677718515933656,0.23220555906715043,0.00025963823499929376
108,1.0,2.1,7.25,4.099448667733571e-05,0.0,0.7599406311760912,0.24001837433723144,0.00040283245295463435
109,1.0,2.1,7.5,7.029746402794082e-05,0.0,0.7524804051382165,0.2474492973977555,0.0005996848517856981
110,1.0,2.1,7.75,0.000114721645238798,0.0,0.7453625735207873,0.2545227048339739,0.0008610329466547877
111,1.0,2.1,8.0,0.00017925347813400427,0.0,0.7385597774770586,0.26126096904480745,0.0011976379197300925
112,1.0,2.1,8.25,0.0002695513947011105,0.0,0.7320461041522268,0.2676843444530721,0.0016198260814262416
113,1.0,2.1,8.5,0.0003918141862097356,0.0,0.7257972211404143,0.27381096467337596,0.002137185033593341
114,1.0,2.1,8.75,0.0005526214746358806,0.0,0.7197904530412272,0.2796569254841367,0.0027583258795404043
115,1.0,2.1,9.0,0.0007587596038191971,0.0,0.7140048107378073,0.28523642965837354,0.003490714285080187
